3706;WRECK OF THE HESPERUS;GEORGE HARRISON; 
3719;WRITING'S ON THE WALL;GEORGE HARRISON; 
3680;YELLOW SUBMARINE;BEATLES; 
3813;YES SIR, I CAN BOOGIE;BACCARA; 
3786;YMCA;VILLAGE PEOPLE; 
3659;YOU ARE MY EVERYTHING;SANTA ESMERALDA; 
3851;YOU ARE NOT ALONE;MODERN TALKING; 
3546;YOU CAN LEAVE YOUR HAT ON;JOE COCKER; 
3600;YOU IN THE ARMY;STATUS QUO;•
3681;YOU NEVER CAN TELL;CHUCK BERRY;•
3477;YOUNG FINGERS GET BURNT;ARABESQUE; 
3601;YOU'RE A WOMAN;BAD BOYS BLUE;•
3861;YOU`RE THE FIRST, THE LAST, MY EVERYTHING;BARRY WHITE; 
3803;ZANZIBAR;ARABESQUE;•
